PLACE,LATITUDE,LONGITUDE
Chilkur Balaji Temple,17.3586,78.2988
Viswanath Theatre,17.4969,78.3964
Prasads Multiplex,17.4130,78.4657
PVR Cinemas Atrium,17.4460,78.3637
Secundrabad Railway Station,17.4337,78.5016
Ashta Lakshmi Temple,17.3650264,78.5449155
Sanghi Temple,17.2668128,78.6737779
Miraj Cinemas Miyapur,17.4955266,78.3514605
Hare Krishna Golden Temple,17.4103614,78.4278106
PVR Irrum Manzil,17.4212225,78.4531288
Sri Peddamma Temple,17.4308885,78.4027361
Sai Baba Temple DilshulkNagar,17.3678335,78.5250991
Next Galleria Mall Panjagutta,17.4290466,78.4480111
Durgam Cheruvu Cable Bridge,17.4338647,78.3949942
Statue of Equality,17.1858005,78.3310808
Sarath City Captial Mall,17.4576003,78.3617606
Devi 70MM Theatre,17.4061442,78.4927245
Shanti Theatre,17.3962241,78.4876528
TTD Mini Tirumala,17.4148022,78.4144721
Matsya Kurma Hitech City Temple,17.4482179,78.3483818
Iscon Temple,17.3879473,78.4728946
Moazaam Jahi Marker,17.3845123,78.4728638
PVR Icon Hitech City,17.4482086,78.382133
Patny Ganesh Temple,17.4439306,78.496425
Yellamma Pochamma Temple Balkampet,17.4474672,78.4469714
Vasavi MPM Grand,17.4342278,78.4428951
DSL Virtue Mall,17.4004762,78.5503001
Shyam Mandir,17.3898408,78.4954191
Kachiguda Railway Station,17.3893354,78.4970364
